Date,Close/Last,Volume,Open,High,Low,Day
45230,717.392,1119,714.14,723.284,710,328
45229,713.9,1601,706.85,718,706.76,329
45226,693.498,3243,698.44,709.48,693,330
45225,703,1489,713.71,713.91,698.75,331
45224,715.59,4747,714.09,720.586,706.88,332
45223,727.94,2903,720.1,727.94,714.42,333
45222,713,1327,700.97,716.23,695.8,334
45219,702.5,1781,699.0001,710.95,699.0001,335
45218,703.56,3433,705,717.88,703.56,336
45217,703.992,5560,716.43,716.43,700,337
45216,705.5,8556,694.62,711.78,692,338
45215,709.1935,2699,695.3,712.05,695.3,339
45212,694,2542,700,706.24,690.66,340
45211,708.06,2879,718.29,718.4548,705.1,341
45210,726,18476,735.44,741.54,722.748,342
45209,742.25,1863,764.85,777,742.25,343
45208,759.175,873,752.57,760.744,747.05,344
45205,780.44,1646,763.12,781.64,756.006,345
45204,765.9,3132,759.59,766.18,750.5,346
45203,751.106,780,752.9,757.836,745.88,347
45202,740.515,1536,746.43,746.43,735.25,348
45201,745.34,958,747.43,753,742.33,349
45198,759.86,2138,772.09,773.008,754.34,350
45197,746.286,13663,738.9,750.5,738.9,351
45196,736.014,2987,742.91,742.91,726.28,352
45195,743,2403,743.24,746.536,740.195,353
45194,757.65,1714,761.55,761.55,750.35,354
45191,777.436,6499,776.45,786.09,770.58,355
45190,777.5,3336,770,779.88,770,356
45189,778.73,1957,786.65,794.62,778.73,357
45188,788.65,1524,783.29,790.86,781,358
45187,790.856,1065,795.29,797.4,790,359
45184,806,4445,818.16,820.2,805,360
45183,795.462,590,792.62,798.4,788,361
45182,779.295,1312,788.17,790,775.9,362
45181,794.344,635,786.77,796.18,783.08,363
45180,800.3,1861,775.55,801.77,775.55,364
45177,793.56,6122,784.95,798.59,784.95,365
45176,778.96,2519,780.47,782.4,773.74,366
45175,786.515,4197,794.16,794.16,775.25,367
45174,812.5,3928,824.21,824.21,811.8899,368
45170,837.984,2946,836.09,859.61,828.87,369
45169,848.3,714,862.89,862.89,837.95,370
45168,878.555,4200,883.83,885.68,871.965,371
45167,883.688,814,862.2901,885.17,862.2901,372
45166,864.299,543,861.96,866.21,857.92,373
45163,852.685,1494,854.226,855.39,843.7407,374
45162,841.3,1986,855.52,857.76,841.3,375
45161,859.242,2232,850.34,863.22,850.34,376
45160,853.92,2309,858.71,861.05,852.18,377
45159,855.37,3536,854.3,861.48,850,378
45156,844.08,2806,835.59,848.63,831.76,379
45155,849.25,2063,865,866.07,849,380
45154,870.33,1336,878.33,879,866.73,381
45153,877.605,805,884.36,884.36,873.63,382
45152,888.09,610,889.59,896.24,882.9,383
45149,897.132,411,899.29,904,895.49,384
45148,909.75,3412,913.384,926.68,908.556,385
45147,888.25,372,890.03,892.74,884,386
45146,890.2,8669,885.36,890.2,880,387
45145,904.132,274,901.6,905,895.072,388
45142,889.75,703,896,905,888.7,389
45141,891.75,3776,884.967,895.53,881.84,390
45140,890,1535,903.55,903.55,887,391
45139,914.61,11353,916.52,916.52,906.7433,392
45138,933.595,1578,940.1,940.1,930.3,393
45135,928.458,649,925.422,935,923.216,394
45134,922.16,1885,923.21,929.896,915,395
45133,901.52,1847,896.26,907.76,894.3,396
45132,913,3888,951.17,953.4,912.96,397
45131,953.75,2765,944.22,956.63,940.73,398
45128,967.48,1049,959.22,967.48,956.79,399
45127,951.77,651,952.17,956.03,947.1,400
45126,953.85,1411,959.82,959.82,947.264,401
45125,968.085,742,960.33,971.4,956.04,402
45124,968.6965,2237,966.54,970.336,959.965,403
45121,999,1584,1000,1003.5,995.24,404
45120,986.31,1096,984.21,990,976,405
45119,967.7,1322,950,968.76,948.75,406
45118,936.735,635,935.608,937,930,407
45117,915.905,972,911.33,918.46,905.72,408
45114,905,1184,900.92,913.81,897.84,409
45113,894.01,1519,897.63,897.63,877.7726,410
45112,919.695,1550,923.115,926.03,916,411
45110,935.715,591,932.66,937.43,929.188,412
45107,945,829,937.5,949.15,934.2,413
45106,936.06,1091,929.61,937.3475,928.85,414
45105,927.4,537,928.584,930.81,922.36,415
45104,925.778,667,915.59,928.658,915.59,416
45103,913.125,817,910,916,910,417
45100,905.85,2307,897.1,911,897.1,418
